Timestamp,TMUSite5509-2 - Total Carriageway Flow,TMUSite5509-2 - Speed Value
2018-01-01 00:14:00,8,118.36
2018-01-01 00:29:00,37,113.01
2018-01-01 00:44:00,79,115.05
2018-01-01 00:59:00,81,113.52
2018-01-01 01:14:00,55,114.24
2018-01-01 01:29:00,44,111.65
2018-01-01 01:44:00,50,110.81
2018-01-01 01:59:00,30,109.44
2018-01-01 02:14:00,37,110.82
2018-01-01 02:29:00,26,114.36
2018-01-01 02:44:00,20,109.75
2018-01-01 02:59:00,21,117.0
2018-01-01 03:14:00,14,111.17
2018-01-01 03:29:00,17,110.48
2018-01-01 03:44:00,19,110.63
2018-01-01 03:59:00,17,112.69
2018-01-01 04:14:00,21,109.71
2018-01-01 04:29:00,21,115.91
2018-01-01 04:44:00,17,117.97
2018-01-01 04:59:00,25,111.82
2018-01-01 05:14:00,15,111.27
2018-01-01 05:29:00,27,117.93
2018-01-01 05:44:00,23,112.92
2018-01-01 05:59:00,45,109.27
2018-01-01 06:14:00,34,113.33
2018-01-01 06:29:00,38,115.62
2018-01-01 06:44:00,42,114.75
2018-01-01 06:59:00,55,112.98
2018-01-01 07:14:00,49,111.8
2018-01-01 07:29:00,63,118.41
2018-01-01 07:44:00,57,110.65
2018-01-01 07:59:00,63,113.51
2018-01-01 08:14:00,58,115.14
2018-01-01 08:29:00,65,116.9
2018-01-01 08:44:00,73,116.82
2018-01-01 08:59:00,86,117.91
2018-01-01 09:14:00,93,112.78
2018-01-01 09:29:00,118,116.34
2018-01-01 09:44:00,115,113.55
2018-01-01 09:59:00,148,116.39
2018-01-01 10:14:00,146,110.91
2018-01-01 10:29:00,215,114.82
2018-01-01 10:44:00,185,115.76
2018-01-01 10:59:00,241,113.41
2018-01-01 11:14:00,276,115.04
2018-01-01 11:29:00,320,116.79
2018-01-01 11:44:00,347,112.83
2018-01-01 11:59:00,353,113.69
2018-01-01 12:14:00,377,110.7
2018-01-01 12:29:00,419,111.08
2018-01-01 12:44:00,459,114.17
2018-01-01 12:59:00,418,113.64
2018-01-01 13:14:00,426,115.62
2018-01-01 13:29:00,357,117.97
2018-01-01 13:44:00,391,117.15
2018-01-01 13:59:00,402,116.22
2018-01-01 14:14:00,372,116.84
2018-01-01 14:29:00,377,117.14
2018-01-01 14:44:00,363,116.55
2018-01-01 14:59:00,373,117.7
2018-01-01 15:14:00,394,118.13
2018-01-01 15:29:00,406,118.11
2018-01-01 15:44:00,393,118.36
2018-01-01 15:59:00,459,116.64
2018-01-01 16:14:00,472,115.98
2018-01-01 16:29:00,422,118.15
2018-01-01 16:44:00,470,113.38
2018-01-01 16:59:00,388,114.3
2018-01-01 17:14:00,428,112.09
2018-01-01 17:29:00,321,116.12
2018-01-01 17:44:00,338,114.32
2018-01-01 17:59:00,314,114.97
2018-01-01 18:14:00,254,114.87
2018-01-01 18:29:00,256,115.16
2018-01-01 18:44:00,236,115.11
2018-01-01 18:59:00,214,115.06
2018-01-01 19:14:00,185,116.02
2018-01-01 19:29:00,156,115.92
2018-01-01 19:44:00,168,115.13
2018-01-01 19:59:00,173,118.27
2018-01-01 20:14:00,119,114.48
2018-01-01 20:29:00,119,114.92
2018-01-01 20:44:00,98,115.85
2018-01-01 20:59:00,105,115.08
2018-01-01 21:14:00,116,115.5
2018-01-01 21:29:00,92,113.99
2018-01-01 21:44:00,73,117.62
2018-01-01 21:59:00,75,113.61
2018-01-01 22:14:00,48,112.16
2018-01-01 22:29:00,82,113.52
2018-01-01 22:44:00,40,115.28
2018-01-01 22:59:00,30,116.54
2018-01-01 23:14:00,30,110.97
2018-01-01 23:29:00,29,115.02
2018-01-01 23:44:00,16,113.54
2018-01-01 23:59:00,19,109.99
2018-01-02 00:14:00,11,106.95
2018-01-02 00:29:00,16,108.37
2018-01-02 00:44:00,14,108.25
2018-01-02 00:59:00,10,110.55
2018-01-02 01:14:00,13,115.71
2018-01-02 01:29:00,12,101.79
2018-01-02 01:44:00,10,106.6
2018-01-02 01:59:00,9,106.59
2018-01-02 02:14:00,15,107.74
2018-01-02 02:29:00,8,114.75
2018-01-02 02:44:00,13,115.25
2018-01-02 02:59:00,18,106.58
2018-01-02 03:14:00,15,113.76
2018-01-02 03:29:00,14,116.32
2018-01-02 03:44:00,21,108.08
2018-01-02 03:59:00,33,111.18
2018-01-02 04:14:00,33,117.72
2018-01-02 04:29:00,46,116.51
2018-01-02 04:44:00,43,110.59
2018-01-02 04:59:00,88,115.73
2018-01-02 05:14:00,124,115.69
2018-01-02 05:29:00,184,118.0
2018-01-02 05:44:00,230,116.7
2018-01-02 05:59:00,352,117.56
2018-01-02 06:14:00,432,115.52
2018-01-02 06:29:00,498,114.88
2018-01-02 06:44:00,553,113.27
2018-01-02 06:59:00,581,110.35
2018-01-02 07:14:00,594,109.28
2018-01-02 07:29:00,635,108.33
2018-01-02 07:44:00,586,108.39
2018-01-02 07:59:00,579,108.7
2018-01-02 08:14:00,541,110.28
2018-01-02 08:29:00,460,111.82
2018-01-02 08:44:00,443,111.95
2018-01-02 08:59:00,401,113.76
2018-01-02 09:14:00,323,114.35
2018-01-02 09:29:00,332,113.49
2018-01-02 09:44:00,280,111.84
2018-01-02 09:59:00,352,110.93
2018-01-02 10:14:00,325,111.3
2018-01-02 10:29:00,343,109.73
2018-01-02 10:44:00,396,109.5
2018-01-02 10:59:00,386,106.45
2018-01-02 11:14:00,395,103.45
2018-01-02 11:29:00,339,104.32
2018-01-02 11:44:00,335,104.5
2018-01-02 11:59:00,313,107.65
2018-01-02 12:14:00,356,107.18
2018-01-02 12:29:00,319,109.12
2018-01-02 12:44:00,362,106.25
2018-01-02 12:59:00,347,108.38
2018-01-02 13:14:00,364,110.07
2018-01-02 13:29:00,346,110.47
2018-01-02 13:44:00,330,112.58
2018-01-02 13:59:00,369,112.33
2018-01-02 14:14:00,424,111.37
2018-01-02 14:29:00,365,113.23
2018-01-02 14:44:00,354,113.29
2018-01-02 14:59:00,312,113.4
2018-01-02 15:14:00,334,115.4
2018-01-02 15:29:00,335,112.83
2018-01-02 15:44:00,339,115.99
2018-01-02 15:59:00,355,113.49
2018-01-02 16:14:00,362,114.88
2018-01-02 16:29:00,352,113.68
2018-01-02 16:44:00,359,110.7
2018-01-02 16:59:00,360,111.64
2018-01-02 17:14:00,403,111.48
2018-01-02 17:29:00,369,111.67
2018-01-02 17:44:00,390,112.19
2018-01-02 17:59:00,303,112.61
2018-01-02 18:14:00,291,112.5
2018-01-02 18:29:00,277,113.34
2018-01-02 18:44:00,265,113.39
2018-01-02 18:59:00,195,112.94
2018-01-02 19:14:00,260,113.44
2018-01-02 19:29:00,152,115.74
2018-01-02 19:44:00,140,112.51
2018-01-02 19:59:00,146,114.04
2018-01-02 20:14:00,151,113.78
2018-01-02 20:29:00,134,110.07
2018-01-02 20:44:00,94,110.65
2018-01-02 20:59:00,76,109.57
2018-01-02 21:14:00,108,108.17
2018-01-02 21:29:00,84,103.97
2018-01-02 21:44:00,70,110.87
2018-01-02 21:59:00,102,109.25
2018-01-02 22:14:00,118,106.25
2018-01-02 22:29:00,140,107.66
2018-01-02 22:44:00,120,110.4
2018-01-02 22:59:00,143,108.99
2018-01-02 23:14:00,66,107.34
2018-01-02 23:29:00,34,100.72
2018-01-02 23:44:00,31,101.85
2018-01-02 23:59:00,23,109.44
2018-01-03 00:14:00,25,107.79
2018-01-03 00:29:00,18,106.09
2018-01-03 00:44:00,14,111.81
2018-01-03 00:59:00,18,108.16
2018-01-03 01:14:00,16,111.7
2018-01-03 01:29:00,15,109.0
2018-01-03 01:44:00,7,106.72
2018-01-03 01:59:00,19,106.33
2018-01-03 02:14:00,11,105.25
2018-01-03 02:29:00,9,102.34
2018-01-03 02:44:00,17,106.07
2018-01-03 02:59:00,11,113.05
2018-01-03 03:14:00,22,109.47
2018-01-03 03:29:00,14,105.2
2018-01-03 03:44:00,21,101.59
2018-01-03 03:59:00,31,106.26
2018-01-03 04:14:00,36,110.34
2018-01-03 04:29:00,44,109.98
2018-01-03 04:44:00,50,109.49
2018-01-03 04:59:00,77,115.39
2018-01-03 05:14:00,125,112.68
2018-01-03 05:29:00,189,115.71
2018-01-03 05:44:00,249,117.48
2018-01-03 05:59:00,349,116.35
2018-01-03 06:14:00,414,115.83
2018-01-03 06:29:00,539,108.75
2018-01-03 06:44:00,640,107.77
2018-01-03 06:59:00,677,106.4
2018-01-03 07:14:00,826,99.41
2018-01-03 07:29:00,709,105.28
2018-01-03 07:44:00,691,104.13
2018-01-03 07:59:00,620,107.74
2018-01-03 08:14:00,632,108.3
2018-01-03 08:29:00,620,107.38
2018-01-03 08:44:00,523,109.97
2018-01-03 08:59:00,476,112.34
2018-01-03 09:14:00,364,111.92
2018-01-03 09:29:00,368,112.79
2018-01-03 09:44:00,345,112.57
2018-01-03 09:59:00,368,113.36
2018-01-03 10:14:00,304,113.35
2018-01-03 10:29:00,291,113.48
2018-01-03 10:44:00,304,113.0
